ID	post_title	post_name	post_date	post_status
1 ✅ 9950	Past, Present, & Future of Student Debt Organizing	past-present-future-of-student-debt-organizing	2024-03-04 14:56:28	publish
1 ✅ 9943	International & Comparative Perspectives with Aziz Rana	international-comparative-perspectives-on-the-the-courts-with-aziz-rana	2024-03-03 20:50:54	publish
  🫥 9877	[POSTPONED] LPE NYC Night School: Race, Space, and Displacement in NYC	lpe-nyc-night-school-race-space-and-displacement-in-nyc	2024-02-27 13:23:26	publish
1 ✅ 9869	LPE NYC: Unequal Procedure	unequal-procedure-lpe-and-civil-procedure	2024-02-26 12:40:53	publish
  🫥 9862	Student & Emerging Scholar CFP: Heterodox Economics Meets LPE	cfp-heterodox-economics-meets-law-and-political-economy-power-for-a-just-transition	2024-02-25 09:26:10	publish
  🫥 9810	LPE NYC: Vincent Bevins & Analilia Mejia on the Mass Protest Decade & the Missing Revolution	lpe-nyc-vincent-bevins-analilia-mejia-on-the-mass-protest-decade-the-missing-revolution	2024-02-24 19:49:45	publish
1 ✅ 9854	The Law and Political Economy of Civil Procedure	the-law-and-political-economy-of-civil-procedure	2024-02-23 12:53:58	publish
  🫥 9850	Antimonopoly Now: A Conversation on Practice and the Academy with FTC Chair Lina Khan	antimonoply-now-a-conversation-on-practice-and-the-academy-with-ftc-chair-lina-khan	2024-02-23 12:36:33	publish
1 ✅ 9844	CFP: Labor & the Law Workshop	cfp-labor-the-law-workshop	2024-02-22 13:57:50	publish
  🫥 9821	LPE NYC: Striking Debt: The Organizing & Legal Work of the Debt Collective		2024-02-21 13:53:46	draft
1 ✅ 9806	"Heterodox Economics Meets Law and Political Economy: Power for a Just Transition" Conference	call-for-emerging-scholar-submissions	2024-02-19 15:47:16	publish
  🫥 9771	History of Court Reform Efforts (1865–2022) with Samuel Moyn & William Forbath	history-of-court-reform-efforts	2024-02-18 09:30:51	publish
  🫥 9755	If We Burn with Vincent Bevins	if-we-burn-with-vincent-bevins	2024-02-05 17:04:06	publish
  🫥 9718	RebLaw: 2024 Rebellious Lawyering Conference	rebellious-lawyering-conference	2024-01-30 16:30:56	publish
2 ✅ 9683	LPE NYC Night School: Courts - The Good, the Bad, and the Political Economy	lpe-nyc-night-school-courts-the-good-the-bad-and-the-political-economy	2024-01-26 14:20:58	publish
  🫥 9690	Apply to the 2024 Law & Organizing Academy!	apply-to-the-2024-law-organizing-academy	2024-01-22 16:01:48	publish
2 ✅ 9900	The Problem of the Court with Nikolas Bowie	the-problem-of-the-court-with-nikolas-bowie	2024-01-18 17:31:11	publish
2 ✅ 9898	Open Course: What To Do About the Courts	open-course-what-to-do-about-the-courts	2024-01-17 14:25:30	publish
2 ✅ 9895	Live to See the Day with Nikhil Goyal and Samuel Moyn	live-to-see-the-day-with-nikhil-goyal-and-samuel-moyn	2024-01-10 12:22:22	publish
2 ✅ 9889	Administering a Democratic Political Economy	administering-a-democratic-political-economy	2024-01-08 17:04:06	publish
2 ✅ 9423	SGEL Conference: Gender & Race in Law & Political Economy	sgel-conference-gender-race-in-law-political-economy	2023-11-22 16:43:46	publish
2 ✅ 9421	LPE NYC: Night School on the Law & Political Economy of Housing	lpe-nyc-night-school-on-the-law-political-economy-of-housing	2023-11-21 17:41:20	publish
2 ✅ 9415	Job Announcement: The Law & Political Economy Project is Hiring a 2024-2025 Law & Organizing Fellow!	job-announcement-the-law-political-economy-project-is-hiring-a-2024-2025-law-organizing-fellow	2023-11-21 11:23:09	publish
2 ✅ 9300	Power-Building for the Long Haul: Rachel Gilmer, Astra Taylor, and Tara Raghuveer	power-building-for-the-long-haul	2023-11-10 09:31:21	publish
2 ✅ 9352	Your Money or Your Life: Debt Collection in American Medicine with Luke Messac	your-money-or-your-life-debt-collection-in-american-medicine-with-luke-messac	2023-11-03 12:48:58	publish
2 ✅ 9303	Tech and Taxis: Deregulation via Disruption	tech-and-taxis-deregulation-via-disruption	2023-11-01 15:36:05	publish
2 ✅ 9310	Why Public Interest Students Should Study Banking & Financial Regulation with Saule Omarova	why-public-interest-students-should-study-banking-financial-regulation-with-saule-omarova	2023-11-01 13:26:17	publish
3 ✅ 9203	Cornell LPE: Legal Issues + Rural Futures	legal-issues-rural-futures	2023-10-16 13:09:27	publish
2 ✅ 9181	The Shadow Docket with Steve Vladeck, Samuel Moyn, and Judith Resnik	the-shadow-docket-with-steve-vladeck-samuel-moyn-and-judith-resnik	2023-10-11 14:41:08	publish
2 ✅ 9155	LPE in New Haven - Happy Hour Oct 25th	lpe-in-new-haven-happy-hour	2023-10-05 09:24:00	publish
3 ✅ 9135	JLPE IS HIRING!	jlpe-is-hiring	2023-10-01 11:48:03	publish
3 ✅ 9088	LPE NYC: The New School's LPE Night School	lpe-nyc-the-new-schools-lpe-night-school	2023-09-22 14:28:26	publish
3 ✅ 9030	Coöperism: Toward a Theory and Praxis of Cooperation with Bernard Harcourt	cooperism-toward-a-theory-and-praxis-of-cooperation-with-bernard-harcourt	2023-09-12 09:50:26	publish
2 ✅ 9023	Heterodox Economics Meets LPE Conference	cfp-heterodox-economics-meets-lpe-institutions-power-students-emerging-scholars	2023-09-11 12:08:10	publish
8989	Neoliberalism and Capitalism as Keywords	cfp-neoliberalism-and-capitalism-as-keywords-in-contemporary-history	2023-08-31 08:17:18	publish
3 ✅ 8980	CFP: ClassCrits Conference at Southwestern Law School	cfp-classcrits-conference-at-southwestern-law-school	2023-08-23 09:19:32	publish
3 ✅ 8972	CFP: Critical Legal Collective: Inaugural Conference	critical-legal-collective-inaugural-conference-cfp	2023-08-18 15:41:15	publish
3 ✅ 8956	2 LPE Postdocs at Harvard	2-lpe-postdocs-at-harvard	2023-08-02 14:42:03	publish
3 ✅ 8646	Job Announcement: The Law & Political Economy Project is Hiring!	job-announcement-deputy-director	2023-05-16 11:57:26	publish
3 ✅ 8557	Brooklyn LPE Collective - "The Decriminalization of Sex Work"	brooklyn-lpe-decriminalization-sex-work	2023-04-23 11:49:03	publish
3 ✅ 8523	Reviving Progressive Constitutional Political Economy at Berkeley Law School	reviving-progressive-constitution-berkeley	2023-04-12 15:18:53	publish
3 ✅ 8519	Harvard LPE Association & Brooklyn LPE Collective - "Decolonizing Money"	harvard-lpe-decolonizing-money	2023-04-11 09:03:56	publish
4 ✅ 8463	Symposium on TWAIL & Economic Sanctions	symposium-on-twail-economic-sanctions	2023-03-25 17:20:28	publish
4 ✅ 8452	Harvard LPE Association - "Marking the roots/routes of racial capitalism: anti-Blackness or elsewhere?"	harvard-lpe-association-marking-the-roots-routes-of-racial-capitalism-anti-blackness-or-elsewhere	2023-03-22 17:15:10	publish
4 ✅ 8416	Call for Abstracts: European Association for Evolutionary Political Economy	call-for-abstracts-eaepe-2023	2023-03-13 16:04:49	publish
3 ✅ 8374	Convening on Law and Power Building	tal-law-and-power-building	2023-03-02 17:37:34	publish
4 ✅ 8358	2023 LPE Conference - "Labor, Social Control, and Counterpower"	2023-lpe-conference-harvard	2023-02-27 15:41:35	publish
4 ✅ 8352	Call for Submissions: Journal of Law and Political Economy (JLPE)	call-for-submissions-jlpe-february-2023	2023-02-27 11:12:45	publish
4 ✅ 8330	Harvard LPE Association: Financing the Green New Deal - A Plan of Action	harvard-lpe-financing-green-new-deal	2023-02-23 16:37:08	publish
4 ✅ 8325	LPE NYC Launch Event	lpe-nyc-launch-event	2023-02-21 15:51:19	publish
